101 2
NEW 9 2031788877
NEW 10 2031788877
NEW 18 2031788877
NEW 26 1370871378
NEW 36 1370871378
NEW 40 2031788877
NEW 47 2031788877
NEW 55 2031788877
NEW 56 3759246572
NEW 59 885601368
NEW 64 3759246572
NEW 68 1370871378
NEW 70 3759246572
NEW 77 885601368
NEW 87 4139608207
NEW 88 3209163738
NEW 96 91037762
NEW 104 1168277720
NEW 105 4139608207
NEW 107 2031788877
NEW 111 91037762
NEW 118 1290079663
NEW 125 3759246572
NEW 129 4199129705
NEW 136 4199129705
NEW 143 2753822287
NEW 147 2592049824
NEW 153 286007148
NEW 159 1168277720
NEW 168 3923961634
NEW 171 4199129705
NEW 173 1290079663
NEW 183 3923961634
NEW 187 885601368
NEW 190 2266467602
NEW 197 286007148
NEW 199 4139608207
NEW 209 2636641771
NEW 217 105352392
NEW 223 4172706759
NEW 227 91037762
NEW 228 2636641771
NEW 234 1137065527
NEW 243 1019073905
NEW 249 1019073905
NEW 256 1649082975
NEW 264 3759246572
NEW 266 3759246572
NEW 270 4139608207
NEW 278 60549291
NEW 285 464866904
NEW 288 2031788877
NEW 291 1290079663
NEW 297 847420345
NEW 301 2829966022
NEW 311 457948908
NEW 314 1370871378
NEW 317 1168277720
NEW 318 885601368
NEW 326 4263179445
NEW 331 928331625
NEW 338 3846498193
NEW 347 847420345
NEW 355 464866904
NEW 360 2836395983
NEW 369 2829966022
NEW 379 4199129705
NEW 383 286007148
NEW 387 2753822287
NEW 395 1236971114
NEW 398 105352392
NEW 406 1167646611
NEW 408 854369
NEW 413 1046160895
NEW 419 847420345
NEW 429 3280718715
NEW 434 191763308
NEW 444 2716928924
NEW 446 3280718715
NEW 447 3209163738
NEW 457 3591649955
NEW 466 1400380996
NEW 471 4161431027
NEW 474 4139608207
NEW 484 3551203061
NEW 488 746748031
NEW 494 701225082
NEW 500 2704829212
NEW 508 175409092
NEW 509 3486263734
NEW 516 478162577
NEW 518 4114322722
NEW 528 457948908
NEW 537 2812725475
NEW 540 3085692724
NEW 544 105352392
NEW 552 2704829212
NEW 558 2133751758
NEW 560 2538396064
NEW 569 1137065527
NEW 571 2256243264
NEW 574 2801622144
NEW 578 286007148
NEW 583 728495265
NEW 590 1756980851
NEW 593 472831547
NEW 601 2801622144
NEW 605 885601368
NEW 612 2812725475
NEW 621 2303466382
NEW 624 4273083541
NEW 631 12010609
NEW 632 1620071488
NEW 635 4263179445
NEW 645 60549291
NEW 650 2636641771
NEW 651 3591649955
NEW 657 2387247336
NEW 666 3085692724
NEW 672 91037762
NEW 681 969725408
NEW 687 627531462
NEW 694 3757717539
NEW 696 286007148
NEW 705 4263179445
NEW 709 3846498193
NEW 717 1168277720
NEW 723 3990228766
NEW 733 3157857642
NEW 742 1054266060
NEW 744 4150297762
NEW 752 4263179445
NEW 753 3406033439
NEW 761 4275595122
NEW 765 3280718715
NEW 766 841656237
NEW 767 947086078
NEW 770 286007148
NEW 777 3085692724
NEW 781 3947348853
NEW 785 2044932651
NEW 790 2299651667
NEW 795 2133751758
NEW 802 1290079663
NEW 811 1019073905
NEW 821 1325864713
NEW 831 3947348853
NEW 834 50734461
NEW 842 3209163738
NEW 850 3591649955
NEW 854 472831547
NEW 864 2836395983
NEW 871 12010609
NEW 875 728495265
NEW 877 1370871378
NEW 879 767634872
NEW 889 2995143393
NEW 898 3280718715
NEW 900 1370871378
NEW 903 847420345
NEW 912 2489969775
NEW 914 746748031
NEW 916 1054266060
NEW 925 3121342591
NEW 930 3520940585
NEW 940 191763308
NEW 943 3239864808
NEW 944 105352392
NEW 954 4199848942
NEW 959 4097036068
NEW 969 3889555704
NEW 975 457948908
NEW 978 4161431027
NEW 987 885601368
NEW 995 3551203061
NEW 999 91111056
NEW 1009 3947348853
NEW 1019 3765684189
NEW 1023 4053598439
NEW 1024 3551203061
NEW 1026 1236971114
NEW 1033 2068360828
NEW 1038 12010609
NEW 1046 3923961634
NEW 1056 3106614138
NEW 1061 2325780837
NEW 1062 3580341361
NEW 1069 3467300413
NEW 1075 3239864808
NEW 1082 1636075297
NEW 1090 1598524047
NEW 1091 286007148
NEW 1092 746748031
NEW 1097 1046160895
NEW 1100 1719413250
NEW 1101 1281696589
NEW 1111 2031788877
NEW 1118 2335836888
NEW 1126 3594369462
NEW 1133 2166820637
END
